start_ip,end_ip,join_key,name,country,mcc,mnc
2a01:cb1e:73::,2a01:cb1e:74:ffff:ffff:ffff:ffff:ffff,2a01:cb1e::,Orange,FR,208,01
114.175.250.0,114.175.251.255,114.175.0.0,NTT docomo,JP,440,10
108.81.167.0,108.81.167.255,108.81.0.0,AT&T,US,310,410
196.91.28.0,196.91.29.255,196.91.0.0,IAM,MA,604,01
102.24.40.0,102.24.41.255,102.24.0.0,Tunicell,TN,605,02
46.172.14.0,46.172.14.255,46.172.0.0,Tele2,RU,250,20
109.203.128.0,109.203.129.255,109.203.0.0,IR-TCI (Hamrah-e-Avval),IR,432,11
86.188.88.0,86.188.89.255,86.188.0.0,BT,GB,234,00
2607:fb90:3821::,2607:fb90:3823:ffff:ffff:ffff:ffff:ffff,2607:fb90::,T-Mobile,US,310,260
2600:381:d3::,2600:381:d3:ffff:ffff:ffff:ffff:ffff,2600:381::,AT&T,US,310,410
76.232.187.0,76.232.187.255,76.232.0.0,AT&T,US,310,410
156.178.73.0,156.178.73.255,156.178.0.0,Etisalat,EG,602,03
86.115.191.0,86.115.191.255,86.115.0.0,Telia,FI,244,91
61.206.242.0,61.206.242.255,61.206.0.0,Etisalat,AE,424,02
182.21.14.0,182.21.14.255,182.21.0.0,NTT docomo,JP,440,10
2600:1000:be0a::,2600:1000:be0a:ffff:ffff:ffff:ffff:ffff,2600:1000:8000::,Verizon,US,310,012
91.67.124.0,91.67.124.255,91.67.0.0,Vodafone,DE,262,02
2600:1002:b1a4::,2600:1002:b1a4:ffff:ffff:ffff:ffff:ffff,2600:1002:8000::,Verizon,US,310,012
207.81.66.0,207.81.66.255,207.81.0.0,"Telus Mobility, Koodo Mobile, Public Mobile",CA,302,220
2600:100b:1031::,2600:100b:1031:ffff:ffff:ffff:ffff:ffff,2600:100b::,Verizon,US,310,012
86.169.201.0,86.169.201.255,86.169.0.0,BT,GB,234,00
60.238.72.0,60.238.73.255,60.238.0.0,NTT docomo,JP,440,10
105.211.0.0,105.211.255.255,105.211.0.0,MTN,ZA,655,10
106.219.96.0,106.219.100.255,106.219.0.0,Airtel,IN,404,10
107.140.30.0,107.140.30.255,107.140.0.0,AT&T,US,310,410
106.222.156.0,106.222.159.255,106.222.0.0,Airtel,IN,404,02
205.253.232.0,205.253.233.255,205.253.0.0,Jio,IN,405,840
69.121.192.0,69.121.192.255,69.121.0.0,T-Mobile,US,310,260
74.12.0.0,74.12.3.255,74.12.0.0,Bell Mobility,CA,302,610
2001:268:c07f::,2001:268:c07f:ffff:ffff:ffff:ffff:ffff,2001:268:c000::,au,JP,440,50
2001:268:9afa::,2001:268:9afc:ffff:ffff:ffff:ffff:ffff,2001:268:8000::,au,JP,440,50
2.147.224.0,2.147.255.255,2.147.0.0,MTN Irancell,IR,432,35
114.191.236.0,114.191.236.255,114.191.0.0,NTT docomo,JP,440,10
106.195.56.0,106.195.56.255,106.195.0.0,Airtel,IN,404,02
178.58.0.0,178.58.95.255,178.58.0.0,Mobitel,SI,293,41
217.64.109.0,217.64.109.255,217.64.0.0,Malitel,ML,610,01
23.123.180.0,23.123.181.255,23.123.0.0,AT&T,US,310,410
83.72.0.0,83.72.255.255,83.72.0.0,Telenor,DK,238,02
99.137.211.0,99.137.212.255,99.137.0.0,AT&T,US,310,410
197.20.77.0,197.20.77.255,197.20.0.0,Ooredoo,TN,605,03
2607:fb90:e3a6::,2607:fb90:e3a9:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,260
113.191.247.0,113.191.247.255,113.191.0.0,Vinaphone,VN,452,02
2a00:1fa0:228::,2a00:1fa0:26f:ffff:ffff:ffff:ffff:ffff,2a00:1fa0::,MTS,RU,250,01
2401:d800:7722::,2401:d800:7723:ffff:ffff:ffff:ffff:ffff,2401:d800:4000::,Viettel Mobile,VN,452,04
107.255.236.25,107.255.236.25,107.255.0.0,AT&T,US,310,410
2a04:4a43:407e::,2a04:4a43:407f:ffff:ffff:ffff:ffff:ffff,2a04:4a43:4000::,3,GB,234,20
101.142.119.0,101.142.119.255,101.142.0.0,NTT docomo,JP,440,10
2402:800:b58d::,2402:800:b58d:ffff:ffff:ffff:ffff:ffff,2402:800:8000::,Viettel Mobile,VN,452,04
181.108.6.0,181.108.8.255,181.108.0.0,Personal,AR,722,341
2409:4023:6e16::,2409:4023:6e16:ffff:ffff:ffff:ffff:ffff,2409:4023:4000::,Jio,IN,405,840
157.36.102.0,157.36.103.255,157.36.0.0,Jio,IN,405,840
180.190.142.0,180.190.143.255,180.190.0.0,Globe,PH,515,02
2a03:ec00:b349::,2a03:ec00:b349:ffff:ffff:ffff:ffff:ffff,2a03:ec00:8000::,LMT,LV,247,01
104.182.136.0,104.182.136.255,104.182.0.0,AT&T,US,310,410
69.220.144.0,69.220.148.255,69.220.0.0,AT&T,US,310,410
2409:4061:2084::,2409:4061:2084:ffff:ffff:ffff:ffff:ffff,2409:4061::,Jio,IN,405,840
102.9.89.0,102.9.90.255,102.9.0.0,Orange,EG,602,01
188.124.244.0,188.124.247.255,188.124.0.0,Altel,KZ,401,07
117.131.0.0,117.131.255.255,117.131.0.0,China Mobile,CN,460,00
2a00:1fa2:c259::,2a00:1fa2:c259:ffff:ffff:ffff:ffff:ffff,2a00:1fa2:c000::,MTS,RU,250,01
50.101.54.0,50.101.54.255,50.101.0.0,Bell Mobility,CA,302,610
2409:40e6:a::,2409:40e6:a:ffff:ffff:ffff:ffff:ffff,2409:40e6::,Jio,IN,405,840
114.167.16.0,114.167.16.255,114.167.0.0,NTT docomo,JP,440,10
107.139.219.0,107.139.219.255,107.139.0.0,AT&T,US,310,410
2409:40c1:5e::,2409:40c1:5e:ffff:ffff:ffff:ffff:ffff,2409:40c1::,Jio,IN,405,840
2401:3c00:120::,2401:3c00:120:ffff:ffff:ffff:ffff:ffff,2401:3c00::,U Mobile,MY,502,18
2607:fb90:9b29::,2607:fb90:9b29:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
153.221.236.0,153.221.236.255,153.221.0.0,NTT docomo,JP,440,10
101.143.156.0,101.143.156.255,101.143.0.0,NTT docomo,JP,440,10
68.77.139.0,68.77.139.255,68.77.0.0,AT&T,US,310,410
154.108.190.0,154.108.192.255,154.108.0.0,Ooredoo,TN,605,03
2600:1008:b0c7::,2600:1008:b0c7:ffff:ffff:ffff:ffff:ffff,2600:1008:8000::,Verizon,US,310,012
2402:3a80:46d0::,2402:3a80:46d0:ffff:ffff:ffff:ffff:ffff,2402:3a80:4000::,Vi India,IN,404,22
94.185.50.0,94.185.50.255,94.185.0.0,Ooredoo,OM,422,03
2409:4072:112::,2409:4072:112:ffff:ffff:ffff:ffff:ffff,2409:4072::,Jio,IN,405,840
2402:8100:2418::,2402:8100:2418:ffff:ffff:ffff:ffff:ffff,2402:8100::,Vi India,IN,404,22
2401:d800:570::,2401:d800:570:ffff:ffff:ffff:ffff:ffff,2401:d800::,Viettel Mobile,VN,452,04
2409:4053:119::,2409:4053:119:ffff:ffff:ffff:ffff:ffff,2409:4053::,Jio,IN,405,840
66.208.106.0,66.208.107.255,66.208.0.0,West Central,US,310,180
75.216.0.0,75.216.127.255,75.216.0.0,Verizon,US,310,012
2a00:23ee:10b0::,2a00:23ee:10b0:ffff:ffff:ffff:ffff:ffff,2a00:23ee::,BT,GB,234,00
185.43.231.0,185.43.231.255,185.43.0.0,Cytamobile-Vodafone,CY,280,01
24.186.109.0,24.186.109.255,24.186.0.0,T-Mobile,US,310,260
2401:d800:c50::,2401:d800:c5f:ffff:ffff:ffff:ffff:ffff,2401:d800::,Viettel Mobile,VN,452,04
118.8.144.0,118.8.144.255,118.8.0.0,NTT docomo,JP,440,10
104.176.242.0,104.176.242.255,104.176.0.0,AT&T,US,310,410
77.208.160.0,77.208.175.255,77.208.0.0,Vodafone,ES,214,01
2804:389:4b::,2804:389:4b:ffff:ffff:ffff:ffff:ffff,2804:389::,Claro,BR,724,05
2804:388:c355::,2804:388:c355:ffff:ffff:ffff:ffff:ffff,2804:388:c000::,Claro,BR,724,05
108.228.17.0,108.228.17.255,108.228.0.0,AT&T,US,310,410
117.246.60.0,117.246.60.255,117.246.0.0,BSNL Mobile,IN,404,64
86.190.85.0,86.190.85.255,86.190.0.0,BT,GB,234,00
154.153.10.0,154.153.12.255,154.153.0.0,Airtel,KE,639,03
78.86.0.0,78.86.62.255,78.86.0.0,O2 (UK),GB,234,10
181.248.0.0,181.248.255.255,181.248.0.0,Claro,CO,732,101
111.80.189.0,111.80.198.255,111.80.0.0,Chunghwa,TW,466,92
2402:800:771c::,2402:800:771c:ffff:ffff:ffff:ffff:ffff,2402:800:4000::,Viettel Mobile,VN,452,04
102.174.224.0,102.174.224.255,102.174.0.0,Ooredoo,TN,605,03
162.197.47.0,162.197.47.255,162.197.0.0,AT&T,US,310,410
2a00:f41:5824::,2a00:f41:5825:ffff:ffff:ffff:ffff:ffff,2a00:f41:4000::,Orange,PL,260,03
142.186.138.0,142.186.139.255,142.186.0.0,Bell Mobility,CA,302,610
189.155.129.0,189.155.129.255,189.155.0.0,Telcel,MX,334,020
64.228.62.0,64.228.62.255,64.228.0.0,Bell Mobility,CA,302,610
2405:4802:1d1c::,2405:4802:1d1c:ffff:ffff:ffff:ffff:ffff,2405:4802::,Viettel Mobile,VN,452,04
2607:fb91:fcc::,2607:fb91:fcc:ffff:ffff:ffff:ffff:ffff,2607:fb91::,T-Mobile,US,310,260
65.92.120.0,65.92.128.255,65.92.0.0,Bell Mobility,CA,302,610
2804:389:83::,2804:389:84:ffff:ffff:ffff:ffff:ffff,2804:389::,Claro,BR,724,05
153.216.111.0,153.216.111.255,153.216.0.0,NTT docomo,JP,440,10
153.134.155.0,153.134.156.255,153.134.0.0,NTT docomo,JP,440,10
2600:380:6214::,2600:380:6214:ffff:ffff:ffff:ffff:ffff,2600:380:4000::,AT&T,US,310,410
190.102.76.0,190.102.77.255,190.102.0.0,Natcom,HT,372,03
80.214.16.0,80.214.31.255,80.214.0.0,Bouygues,FR,208,20
2607:fb90:9f17::,2607:fb90:9f19:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
37.66.144.0,37.66.145.255,37.66.0.0,SFR,FR,208,09
178.86.36.0,178.86.36.255,178.86.0.0,Al Jawal (STC),SA,420,01
181.109.193.0,181.109.193.255,181.109.0.0,Personal,AR,722,341
223.233.7.0,223.233.7.255,223.233.0.0,Airtel,IN,404,02
109.83.204.0,109.83.204.255,109.83.0.0,Mobily,SA,420,03
184.239.0.0,184.239.255.255,184.239.0.0,T-Mobile,US,310,120
59.190.178.0,59.190.180.255,59.190.0.0,NTT docomo,JP,440,10
2402:800:fb60::,2402:800:fb61:ffff:ffff:ffff:ffff:ffff,2402:800:c000::,Viettel Mobile,VN,452,04
104.6.175.0,104.6.175.255,104.6.0.0,AT&T,US,310,410
99.140.238.0,99.140.239.255,99.140.0.0,AT&T,US,310,410
114.190.41.0,114.190.41.255,114.190.0.0,NTT docomo,JP,440,10
190.132.192.0,190.132.223.255,190.132.0.0,Antel,UY,748,01
2a01:cb1e:44::,2a01:cb1e:48:ffff:ffff:ffff:ffff:ffff,2a01:cb1e::,Orange,FR,208,01
86.166.169.0,86.166.169.255,86.166.0.0,BT,GB,234,00
2607:fb90:bea4::,2607:fb90:bea4:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
2402:800:31fd::,2402:800:31fd:ffff:ffff:ffff:ffff:ffff,2402:800::,Viettel Mobile,VN,452,04
124.101.136.0,124.101.137.255,124.101.0.0,NTT docomo,JP,440,10
2409:4061:688::,2409:4061:688:ffff:ffff:ffff:ffff:ffff,2409:4061::,Jio,IN,405,840
114.184.92.0,114.184.92.255,114.184.0.0,NTT docomo,JP,440,10
2607:fc20:9945::,2607:fc20:9945:ffff:ffff:ffff:ffff:ffff,2607:fc20:8000::,T-Mobile,US,310,260
2806:370:5606::,2806:370:5606:ffff:ffff:ffff:ffff:ffff,2806:370:4000::,Telcel,MX,334,020
181.35.150.0,181.35.150.255,181.35.0.0,Movilnet,VE,734,06
206.171.168.0,206.171.168.255,206.171.0.0,AT&T,US,310,410
76.229.190.0,76.229.190.255,76.229.0.0,AT&T,US,310,410
76.66.115.0,76.66.116.255,76.66.0.0,Bell Mobility,CA,302,610
76.235.128.0,76.235.128.255,76.235.0.0,AT&T,US,310,410
114.79.0.0,114.79.7.255,114.79.0.0,Smartfren,ID,510,09
157.48.69.0,157.48.78.255,157.48.0.0,Jio,IN,405,840
107.127.19.0,107.127.20.255,107.127.0.0,AT&T,US,310,410
109.82.139.0,109.82.141.255,109.82.0.0,Mobily,SA,420,03
70.27.38.0,70.27.38.255,70.27.0.0,Bell Mobility,CA,302,610
86.184.15.0,86.184.15.255,86.184.0.0,BT,GB,234,00
99.107.68.0,99.107.68.255,99.107.0.0,AT&T,US,310,410
156.184.0.0,156.184.63.255,156.184.0.0,Etisalat,EG,602,03
157.42.132.0,157.42.134.255,157.42.0.0,Jio,IN,405,840
106.205.162.0,106.205.162.255,106.205.0.0,Airtel,IN,404,02
2401:d800:526f::,2401:d800:526f:ffff:ffff:ffff:ffff:ffff,2401:d800:4000::,Viettel Mobile,VN,452,04
196.93.110.0,196.93.110.255,196.93.0.0,IAM,MA,604,01
92.248.112.0,92.248.112.255,92.248.0.0,A1.net,AT,232,01
2800:bf0:8021::,2800:bf0:8021:ffff:ffff:ffff:ffff:ffff,2800:bf0:8000::,Claro,EC,740,01
153.225.68.0,153.225.73.255,153.225.0.0,NTT docomo,JP,440,10
5.22.43.0,5.22.43.255,5.22.0.0,IR-TCI (Hamrah-e-Avval),IR,432,11
176.88.30.0,176.88.30.255,176.88.0.0,Vodafone,TR,286,02
153.186.126.0,153.186.126.255,153.186.0.0,NTT docomo,JP,440,10
74.12.104.0,74.12.107.255,74.12.0.0,Bell Mobility,CA,302,610
153.132.234.0,153.132.241.255,153.132.0.0,NTT docomo,JP,440,10
58.138.35.0,58.138.35.255,58.138.0.0,NTT docomo,JP,440,10
107.133.152.0,107.133.153.255,107.133.0.0,AT&T,US,310,410
110.224.232.0,110.224.232.255,110.224.0.0,Airtel,IN,404,02
94.201.0.0,94.201.7.255,94.201.0.0,du,AE,424,03
102.26.156.0,102.26.156.255,102.26.0.0,Tunicell,TN,605,02
108.198.230.0,108.198.231.255,108.198.0.0,AT&T,US,310,410
31.159.64.0,31.159.64.255,31.159.0.0,Vodafone,IT,222,10
176.201.102.0,176.201.174.255,176.201.0.0,TIM,IT,222,01
97.146.3.0,97.146.3.255,97.146.0.0,Verizon,US,310,012
107.219.90.0,107.219.90.255,107.219.0.0,AT&T,US,310,410
105.153.84.0,105.153.118.255,105.153.0.0,IAM,MA,604,01
86.158.246.0,86.158.247.255,86.158.0.0,BT,GB,234,00
240a:10:49f8::,240a:10:49fa:ffff:ffff:ffff:ffff:ffff,240a:10:4000::,NTT docomo,JP,440,10
102.8.26.0,102.8.27.255,102.8.0.0,Orange,EG,602,01
2409:4065:d9d::,2409:4065:d9f:ffff:ffff:ffff:ffff:ffff,2409:4065::,Jio,IN,405,840
2804:1824:cd01::,2804:1824:cd01:ffff:ffff:ffff:ffff:ffff,2804:1824:c000::,Vivo,BR,724,06
2800:810:518::,2800:810:518:ffff:ffff:ffff:ffff:ffff,2800:810::,Movistar,AR,722,010
114.161.149.0,114.161.151.255,114.161.0.0,NTT docomo,JP,440,10
70.136.27.0,70.136.27.255,70.136.0.0,AT&T,US,310,410
2a02:1216:3500::,2a02:1216:3505:ffff:ffff:ffff:ffff:ffff,2a02:1216::,Swisscom,CH,228,01
2a0d:e487:141f::,2a0d:e487:141f:ffff:ffff:ffff:ffff:ffff,2a0d:e487::,Free,FR,208,15
2607:fb91:891::,2607:fb91:893:ffff:ffff:ffff:ffff:ffff,2607:fb91::,T-Mobile,US,310,260
160.159.227.0,160.159.237.255,160.159.0.0,Orange,TN,605,01
108.196.229.0,108.196.229.255,108.196.0.0,AT&T,US,310,410
2409:895c:24::,2409:895c:24:ffff:ffff:ffff:ffff:ffff,2409:895c::,China Mobile,CN,460,00
2600:380:bc93::,2600:380:bc9b:ffff:ffff:ffff:ffff:ffff,2600:380:8000::,AT&T,US,310,410
212.3.142.0,212.3.142.255,212.3.0.0,Tele2,RU,250,20
191.114.166.0,191.114.166.255,191.114.0.0,Movistar,CL,730,02
2600:1700:7331::,2600:1700:7331:ffff:ffff:ffff:ffff:ffff,2600:1700:4000::,AT&T,US,310,410
70.26.148.0,70.26.152.255,70.26.0.0,Bell Mobility,CA,302,610
104.182.139.0,104.182.139.255,104.182.0.0,AT&T,US,310,410
2a00:1fa2:8470::,2a00:1fa2:8472:ffff:ffff:ffff:ffff:ffff,2a00:1fa2:8000::,MTS,RU,250,01
2607:fb90:e38f::,2607:fb90:e391:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,260
202.5.155.0,202.5.155.255,202.5.0.0,Zong,PK,410,04
49.204.191.0,49.204.191.255,49.204.0.0,Airtel,IN,404,10
2607:fb90:bb23::,2607:fb90:bb23:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
102.10.140.0,102.10.143.255,102.10.0.0,Orange,EG,602,01
2402:800:3270::,2402:800:3270:ffff:ffff:ffff:ffff:ffff,2402:800::,Viettel Mobile,VN,452,04
2800:4b0:5400::,2800:4b0:5406:ffff:ffff:ffff:ffff:ffff,2800:4b0:4000::,Claro,PE,716,10
2607:fb90:f524::,2607:fb90:f524:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,260
2003:e0:f20::,2003:e0:f20:ffff:ffff:ffff:ffff:ffff,2003:e0::,Telekom,DE,262,01
180.6.182.0,180.6.182.255,180.6.0.0,NTT docomo,JP,440,10
23.114.23.0,23.114.23.255,23.114.0.0,AT&T,US,310,410
213.87.120.0,213.87.163.255,213.87.0.0,MTS,RU,250,01
2607:fb90:6dc6::,2607:fb90:6dc6:ffff:ffff:ffff:ffff:ffff,2607:fb90:4000::,T-Mobile,US,310,260
42.119.222.0,42.119.222.255,42.119.0.0,Viettel Mobile,VN,452,04
118.19.246.0,118.19.250.255,118.19.0.0,NTT docomo,JP,440,10
102.86.24.0,102.86.24.255,102.86.0.0,Airtel,UG,641,22
2409:4065:103::,2409:4065:103:ffff:ffff:ffff:ffff:ffff,2409:4065::,Jio,IN,405,840
75.16.167.0,75.16.167.255,75.16.0.0,AT&T,US,310,410
2a00:1fa1:164::,2a00:1fa1:164:ffff:ffff:ffff:ffff:ffff,2a00:1fa1::,MTS,RU,250,01
174.241.0.0,174.241.9.255,174.241.0.0,Verizon,US,310,012
2600:1005:b1ec::,2600:1005:b1ef:ffff:ffff:ffff:ffff:ffff,2600:1005:8000::,Verizon,US,310,012
97.156.153.0,97.156.153.255,97.156.0.0,Verizon,US,310,012
58.93.130.0,58.93.130.255,58.93.0.0,NTT docomo,JP,440,10
92.99.52.0,92.99.53.255,92.99.0.0,Etisalat,AE,424,02
85.112.69.0,85.112.69.255,85.112.0.0,Alfa,LB,415,01
94.205.192.0,94.205.193.255,94.205.0.0,du,AE,424,03
2607:fb91:d0b::,2607:fb91:d0c:ffff:ffff:ffff:ffff:ffff,2607:fb91::,T-Mobile,US,310,260
106.211.137.0,106.211.137.255,106.211.0.0,Airtel,IN,404,02
2409:40d2:1015::,2409:40d2:1015:ffff:ffff:ffff:ffff:ffff,2409:40d2::,Jio,IN,405,840
83.132.37.0,83.132.37.255,83.132.0.0,NOS,PT,268,03
2607:fb90:9c83::,2607:fb90:9c83:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,260
70.235.32.0,70.235.32.255,70.235.0.0,AT&T,US,310,410
217.164.17.0,217.164.17.255,217.164.0.0,Etisalat,AE,424,02
2a00:1fa1:86c9::,2a00:1fa1:86ca:ffff:ffff:ffff:ffff:ffff,2a00:1fa1:8000::,MTS,RU,250,01
154.123.45.0,154.123.45.255,154.123.0.0,Telkom,KE,639,07
86.130.173.0,86.130.173.255,86.130.0.0,BT,GB,234,00
2401:4900:58bf::,2401:4900:58bf:ffff:ffff:ffff:ffff:ffff,2401:4900:4000::,Airtel,IN,404,02
2a00:1fa1:c484::,2a00:1fa1:c484:ffff:ffff:ffff:ffff:ffff,2a00:1fa1:c000::,MTS,RU,250,01
104.52.212.0,104.52.215.255,104.52.0.0,AT&T,US,310,410
162.229.11.0,162.229.11.255,162.229.0.0,AT&T,US,310,410
162.228.144.0,162.228.145.255,162.228.0.0,AT&T,US,310,410
81.220.202.0,81.220.202.255,81.220.0.0,SFR,FR,208,09
176.17.116.0,176.17.131.255,176.17.0.0,Mobily,SA,420,03
91.175.154.0,91.175.154.255,91.175.0.0,Orange,FR,208,01
2a00:23ee:1530::,2a00:23ee:1530:ffff:ffff:ffff:ffff:ffff,2a00:23ee::,BT,GB,234,00
90.112.167.0,90.112.167.255,90.112.0.0,Orange,FR,208,01
108.201.73.0,108.201.73.255,108.201.0.0,AT&T,US,310,410
173.244.147.0,173.244.147.255,173.244.0.0,Beeline,KZ,401,01
189.186.139.0,189.186.141.255,189.186.0.0,Telcel,MX,334,020
45.214.62.0,45.214.73.255,45.214.0.0,Airtel,ZM,645,01
188.73.252.0,188.73.255.255,188.73.0.0,NOVA,GR,202,09
154.104.81.0,154.104.89.255,154.104.0.0,Ooredoo,TN,605,03
153.140.18.0,153.140.20.255,153.140.0.0,NTT docomo,JP,440,10
2409:4002:2e27::,2409:4002:2e27:ffff:ffff:ffff:ffff:ffff,2409:4002::,Jio,IN,405,840
2409:4071:231b::,2409:4071:231b:ffff:ffff:ffff:ffff:ffff,2409:4071::,Jio,IN,405,840
2401:d800:fc90::,2401:d800:fc9f:ffff:ffff:ffff:ffff:ffff,2401:d800:c000::,Viettel Mobile,VN,452,04
180.54.131.0,180.54.133.255,180.54.0.0,NTT docomo,JP,440,10
72.143.192.0,72.143.239.255,72.143.0.0,Rogers Wireless,CA,302,720
114.154.127.0,114.154.127.255,114.154.0.0,NTT docomo,JP,440,10
153.211.12.0,153.211.12.255,153.211.0.0,NTT docomo,JP,440,10
118.1.105.0,118.1.105.255,118.1.0.0,NTT docomo,JP,440,10
97.140.81.0,97.140.81.255,97.140.0.0,Verizon,US,310,012
93.55.40.0,93.55.40.255,93.55.0.0,Fastweb,IT,222,47
178.176.48.0,178.176.48.255,178.176.0.0,MegaFon,RU,250,02
119.234.16.0,119.234.16.255,119.234.0.0,SingTel,SG,525,01
2402:3a80:cfa::,2402:3a80:cfa:ffff:ffff:ffff:ffff:ffff,2402:3a80::,Vi India,IN,404,22
99.173.48.0,99.173.48.255,99.173.0.0,AT&T,US,310,410
2804:389:88::,2804:389:88:ffff:ffff:ffff:ffff:ffff,2804:389::,Claro,BR,724,05
105.71.17.0,105.71.18.255,105.71.0.0,INWI,MA,604,05
181.149.180.0,181.149.181.255,181.149.0.0,Claro,CO,732,101
2804:d41:a3ba::,2804:d41:a3ba:ffff:ffff:ffff:ffff:ffff,2804:d41:8000::,Claro,BR,724,05
2607:fb90:f0d0::,2607:fb90:f0d2:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,260
45.215.109.0,45.215.239.255,45.215.0.0,Airtel,ZM,645,01
2a13:54c1:f000::,2a13:54c1:f000:ffff:ffff:ffff:ffff:ffff,2a13:54c1:c000::,Cellcom,IL,425,02
5.155.110.0,5.155.113.255,5.155.0.0,Syriatel,SY,417,01
2401:4900:5c39::,2401:4900:5c39:ffff:ffff:ffff:ffff:ffff,2401:4900:4000::,Airtel,IN,404,02
154.107.127.0,154.107.131.255,154.107.0.0,Ooredoo,TN,605,03
106.221.0.0,106.221.14.255,106.221.0.0,Airtel,IN,404,02
223.188.231.0,223.188.232.255,223.188.0.0,Airtel,IN,404,02
222.146.180.0,222.146.180.255,222.146.0.0,NTT docomo,JP,440,10
196.95.170.0,196.95.170.255,196.95.0.0,IAM,MA,604,01
107.129.56.0,107.129.56.255,107.129.0.0,AT&T,US,310,410
2a00:1fa2:22f::,2a00:1fa2:23d:ffff:ffff:ffff:ffff:ffff,2a00:1fa2::,MTS,RU,250,01
69.159.105.0,69.159.107.255,69.159.0.0,Bell Mobility,CA,302,610
117.225.47.0,117.225.47.255,117.225.0.0,BSNL Mobile,IN,404,64
2409:4051:186::,2409:4051:187:ffff:ffff:ffff:ffff:ffff,2409:4051::,Jio,IN,405,840
2402:3a80:15f6::,2402:3a80:15f6:ffff:ffff:ffff:ffff:ffff,2402:3a80::,Vi India,IN,404,46
45.109.148.0,45.109.148.255,45.109.0.0,Orange,EG,602,01
2409:4061:2e08::,2409:4061:2e09:ffff:ffff:ffff:ffff:ffff,2409:4061::,Jio,IN,405,840
2401:4900:41be::,2401:4900:41be:ffff:ffff:ffff:ffff:ffff,2401:4900:4000::,Airtel,IN,404,02
108.84.5.0,108.84.6.255,108.84.0.0,AT&T,US,310,410
2401:4900:58b4::,2401:4900:58b5:ffff:ffff:ffff:ffff:ffff,2401:4900:4000::,Airtel,IN,404,02
2a00:1fa1:c2aa::,2a00:1fa1:c2aa:ffff:ffff:ffff:ffff:ffff,2a00:1fa1:c000::,MTS,RU,250,01
2402:800:620e::,2402:800:620e:ffff:ffff:ffff:ffff:ffff,2402:800:4000::,MobiFone,VN,452,01
182.66.181.0,182.66.181.255,182.66.0.0,Airtel,IN,404,02
94.182.217.0,94.182.217.255,94.182.0.0,TCI,IR,432,99
181.109.174.0,181.109.174.255,181.109.0.0,Personal,AR,722,341
95.127.164.0,95.127.166.255,95.127.0.0,Movistar,ES,214,07
196.73.30.0,196.73.30.255,196.73.0.0,IAM,MA,604,01
240f:6f:7e1b::,240f:6f:7e1b:ffff:ffff:ffff:ffff:ffff,240f:6f:4000::,au,JP,440,50
206.13.47.0,206.13.52.255,206.13.0.0,AT&T,US,310,410
2a00:1fa1:4329::,2a00:1fa1:4329:ffff:ffff:ffff:ffff:ffff,2a00:1fa1:4000::,MTS,RU,250,01
2804:388:c296::,2804:388:c296:ffff:ffff:ffff:ffff:ffff,2804:388:c000::,Claro,BR,724,05
2a00:f41:285d::,2a00:f41:285d:ffff:ffff:ffff:ffff:ffff,2a00:f41::,Orange,PL,260,03
109.75.48.0,109.75.56.255,109.75.0.0,Tcell,TJ,436,02
75.40.202.0,75.40.202.255,75.40.0.0,AT&T,US,310,410
2001:268:e85a::,2001:268:e85a:ffff:ffff:ffff:ffff:ffff,2001:268:c000::,au,JP,440,50
221.191.25.0,221.191.25.255,221.191.0.0,NTT docomo,JP,440,10
154.149.80.0,154.149.86.255,154.149.0.0,IAM,MA,604,01
2600:380:625b::,2600:380:625b:ffff:ffff:ffff:ffff:ffff,2600:380:4000::,AT&T,US,310,410
2806:109f:5::,2806:109f:5:ffff:ffff:ffff:ffff:ffff,2806:109f::,Telcel,MX,334,020
2a00:1fa1:8209::,2a00:1fa1:820a:ffff:ffff:ffff:ffff:ffff,2a00:1fa1:8000::,MTS,RU,250,01
173.3.42.0,173.3.42.255,173.3.0.0,T-Mobile,US,310,260
95.125.169.0,95.125.169.255,95.125.0.0,Movistar,ES,214,07
152.166.183.0,152.166.184.255,152.166.0.0,Altice,DO,370,01
68.193.224.0,68.193.224.255,68.193.0.0,T-Mobile,US,310,260
146.251.211.0,146.251.217.255,146.251.0.0,Mobily,SA,420,03
165.50.230.0,165.50.237.255,165.50.0.0,Orange,TN,605,01
67.71.4.0,67.71.11.255,67.71.0.0,Bell Mobility,CA,302,610
97.140.126.0,97.140.126.255,97.140.0.0,Verizon,US,310,012
104.0.0.0,104.0.1.255,104.0.0.0,AT&T,US,310,410
